mutation_count,distance
4,0.319
4,0.5
69,0.746
9,0.826
4,0.904
20,1.109
13,2.132
70,0.975
11,2.864
2,1.129
3,1.233
8,1.922
3,2.165
9,3.233
13,3.801
1,-0.594
2,0.394
5,0.665
10,0.816
9,1.194
8,1.219
10,2.063
15,2.301
3,0.324
19,1.425
11,1.74
6,1.775
11,2.199
18,2.249
13,2.339
17,2.401
13,2.425
17,2.925
14,3.414
19,1.779
14,2.041
20,2.279
13,2.311
14,2.486
22,2.753
19,2.877
19,3.071
23,3.779
6,0.141
12,0.503
6,0.538
5,0.781
4,1.021
7,1.079
9,1.19
8,1.236
6,1.272
5,1.543
9,1.903
6,1.947
10,2.093
10,2.24
9,2.322
10,2.358
10,2.707
2,-0.029
4,0.336
4,0.445
5,1.179
6,1.379
8,1.764
13,2.14
18,2.224
18,2.631
17,2.789
4,0.606
1,0.656
3,0.813
3,1.016
3,1.062
4,1.106
5,1.289
5,1.445
12,1.823
19,2.823
14,4.055
2,0.401
5,0.493
3,0.777
6,0.786
6,0.786
5,0.814
5,0.861
8,0.993
5,1.222
6,1.286
8,1.3
7,1.671
14,1.79
9,2.052
9,2.695
2,2.786
20,3.1
15,3.105
3,-0.389
1,-0.28
8,-0.265
4,0.313
6,0.977
9,2.474
7,1.078
5,1.606
6,2.971
7,3.102
13,3.946
3,0.813
5,1.309
4,1.679
22,2.779
0,-0.28
2,-0.107
5,0.215
1,0.22
3,0.476
4,0.672
5,0.984
8,1.22
8,1.782
15,2.834
22,3.257
11,3.972
2,1.111
8,1.611
8,2.377
0,-0.422
8,0.868
4,1.012
6,1.102
6,1.602
15,3.32
22,3.451
3,0.269
7,1.608
8,1.628
2,-0.029
5,0.786
6,1.22
6,1.477
20,2.279
15,3.197
5,1.27
9,0.235
3,1.0
2,1.352
5,1.445
7,1.608
7,1.993
8,2.974
13,4.654
4,1.106
1,1.602
5,1.971
8,2.292
16,3.051
23,3.779
7,0.518
9,0.574
6,0.725
11,0.735
8,1.044
7,1.706
11,2.593
23,3.514
14,3.674
5,-0.019
4,0.522
4,0.925
4,0.931
3,1.022
7,1.314
9,1.333
9,1.364
13,1.938
22,2.034
9,2.258
5,2.682
6,2.814
6,0.158
4,0.5
3,0.904
6,0.339
5,0.658
8,0.839
6,0.913
5,1.021
6,1.178
14,2.045
15,2.911
5,-0.297
0,-0.161
6,0.0
8,0.5
6,0.0
8,0.339
6,0.5
2,-0.928
3,-0.756
3,-0.636
3,-0.212
6,0.449
10,0.731
4,1.21
8,1.845
7,1.949
9,2.31
10,2.449
12,2.742
8,2.777
14,3.217
11,3.246
2,0.689
9,2.487
12,0.441
6,0.441
7,2.894
12,3.487
6,-1.972
5,-0.212
11,-0.557
5,-0.5
5,0.0
3,0.0
4,0.894
12,1.28
5,0.211
3,1.025
5,1.157
4,1.99
10,3.626
11,3.648
4,0.245
4,1.998
10,2.137
6,2.545
11,2.941
6,0.086
7,0.253
6,1.046
6,1.111
5,1.254
15,2.536
8,2.777
0,0.292
4,-0.208
5,0.35
4,0.728
9,3.026
2,1.165
3,1.894
2,2.113
9,2.987
10,3.441
10,3.816
2,0.0
4,2.023
5,2.394
11,2.665
12,3.316
12,3.941
11,5.219
4,0.665
4,0.99
10,1.81
11,2.191
11,2.245
13,2.296
8,0.816
8,1.148
10,3.113
6,0.0
3,-1.0
2,-0.772
3,-0.504
6,0.339
6,1.0
2,-0.772
6,-0.772
3,-0.357
6,-0.272
3,-0.098
1,0.495
0,0.567
3,1.025
8,1.239
11,1.824
9,1.993
4,1.998
4,2.023
2,2.113
4,-0.292
1,-0.265
0,-0.085
4,0.132
9,2.906
18,3.365
4,-0.208
0,0.228
8,3.194
8,2.219
1,-0.213
2,0.394
9,0.793
12,0.894
5,1.254
18,1.394
13,1.394
10,1.495
14,1.687
9,1.894
5,1.99
5,2.394
6,-0.401
5,0.089
8,1.689
7,1.749
11,2.747
11,2.752
11,3.091
13,3.099
13,3.587
16,3.693
16,3.795
13,4.143
3,-0.529
20,0.779
14,1.051
15,1.697
12,0.867
13,1.586
4,1.872
8,1.907
3,2.13
18,2.249
13,2.516
14,2.859
17,2.87
20,3.027
9,0.654
8,1.654
7,1.927
11,2.054
9,2.154
12,2.493
11,2.61
11,2.612
2,2.738
12,2.739
11,2.759
8,2.767
3,2.861
11,2.877
11,3.037
12,3.154
12,3.361
17,3.421
15,3.494
13,3.765
14,3.818
14,3.822
12,3.966
5,0.941
9,0.643
10,1.193
14,2.364
19,2.777
10,3.067
6,3.572
13,3.606
11,3.643
12,3.737
5,2.449
13,3.099
12,3.245
12,3.425
10,0.987
5,1.288
9,1.894
0,0.551
4,0.691
11,1.051
11,1.055
10,1.766
14,2.085
0,0.551
5,2.23
13,2.279
10,3.441
5,0.941
8,1.394
11,1.613
9,2.497
7,2.56
9,3.317
14,3.922
15,4.157
0,0.111
8,1.614
11,1.772
7,2.787
6,2.5
10,2.745
5,1.298
11,1.235
8,1.72
5,2.106
8,2.447
7,2.786
2,3.474
11,3.654
11,4.144
11,1.235
13,1.259
13,1.394
11,1.945
9,2.157
18,3.633
7,1.082
8,1.553
12,1.885
9,2.561
